epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.679,5.48174,17.1513,3.65644,0,0,0,0,5.0174,4.88317,3.10884,0.000207207,0.000207207,0.000207207
2,634.001,3.9304,9.00805,2.73445,0,0,0,0,3.00457,4.91139,2.13094,0.000411427,0.000411427,0.000411427
3,674.863,3.08422,5.96203,2.20573,0,0,0,0,2.86889,4.57877,1.96555,0.000611521,0.000611521,0.000611521
4,729.102,2.87806,5.20564,1.99478,0,0,0,0,2.27075,4.25234,1.68776,0.000606437,0.000606437,0.000606437
5,778.358,2.58648,4.52587,1.85752,0.06944,0.02142,0.04446,0.02624,2.25091,3.91709,1.65345,0.00060025,0.00060025,0.00060025
6,813.251,2.40422,4.12565,1.73854,0.05729,0.01554,0.03383,0.01884,2.01371,3.82347,1.47764,0.000594062,0.000594062,0.000594062
7,847.594,2.27686,3.73897,1.62997,0.08333,0.00256,0.04295,0.02154,1.89676,3.84205,1.41264,0.000587875,0.000587875,0.000587875
8,883.796,2.16922,3.47116,1.5879,0.06667,0.00513,0.03613,0.02616,1.84134,3.81138,1.35592,0.000581687,0.000581687,0.000581687
9,934.537,2.20433,3.25552,1.54504,0,0,0,0,1.85421,3.94396,1.36187,0.0005755,0.0005755,0.0005755
10,991.981,2.08407,3.09531,1.53416,0.08333,0.00128,0.04231,0.02538,1.80447,3.9872,1.34641,0.000569313,0.000569313,0.000569313
11,1024.32,2.07791,2.96876,1.50742,0,0,0,0,1.76352,4.22935,1.32142,0.000563125,0.000563125,0.000563125
12,1064.02,2.02733,2.90392,1.49492,0,0,0,0,1.76582,3.85455,1.31182,0.000556938,0.000556938,0.000556938
13,1115.92,2.05953,2.86074,1.47516,0,0,0,0,1.69772,3.92905,1.27477,0.00055075,0.00055075,0.00055075
14,1146.71,2.00283,2.81785,1.45257,0,0,0,0,1.87528,3.63243,1.32758,0.000544563,0.000544563,0.000544563
15,1183.52,2.03557,2.78458,1.47052,0,0,0,0,1.69356,3.76736,1.2663,0.000538375,0.000538375,0.000538375
16,1214.21,1.93433,2.74412,1.45513,0,0,0,0,1.66396,3.68938,1.25707,0.000532187,0.000532187,0.000532187
17,1272.05,1.96676,2.71762,1.44093,0,0,0,0,1.7463,3.57005,1.27662,0.000526,0.000526,0.000526
18,1336.48,1.94692,2.66701,1.43569,0,0,0,0,1.74629,3.69348,1.25468,0.000519812,0.000519812,0.000519812
19,1368.94,1.89606,2.62735,1.38887,0,0,0,0,1.59778,3.49804,1.21419,0.000513625,0.000513625,0.000513625
20,1430.95,1.90428,2.62023,1.39549,0,0,0,0,1.71303,3.50763,1.25755,0.000507438,0.000507438,0.000507438
21,1898.96,1.89038,2.57904,1.40806,0,0,0,0,1.60217,3.36886,1.21354,0.00050125,0.00050125,0.00050125
22,1953.35,1.87461,2.56436,1.38753,0,0,0,0,1.69471,3.31896,1.21829,0.000495063,0.000495063,0.000495063
23,1999.51,1.86071,2.5491,1.37459,0,0,0,0,1.65993,3.23369,1.23066,0.000488875,0.000488875,0.000488875
24,2043.92,1.84969,2.50586,1.3599,0,0,0,0,1.75533,3.15453,1.25325,0.000482687,0.000482687,0.000482687
25,2089.4,1.83342,2.50467,1.36452,0,0,0,0,1.69324,3.14325,1.23297,0.0004765,0.0004765,0.0004765
26,2157.93,1.80831,2.47664,1.34563,0,0,0,0,1.62045,3.09522,1.19856,0.000470312,0.000470312,0.000470312
27,2198.68,1.83436,2.48447,1.37414,0,0,0,0,1.71789,3.04159,1.24441,0.000464125,0.000464125,0.000464125
28,2229.56,1.82872,2.45966,1.33837,0,0,0,0,1.70365,3.07043,1.21909,0.000457938,0.000457938,0.000457938
29,2268.2,1.83302,2.45698,1.36467,0,0,0,0,1.66937,2.97153,1.20009,0.00045175,0.00045175,0.00045175
30,2307.1,1.80059,2.4299,1.35327,0,0,0,0,1.60684,3.05847,1.19099,0.000445562,0.000445562,0.000445562
31,2363.18,1.77815,2.39963,1.33757,0,0,0,0,1.72521,3.02608,1.22422,0.000439375,0.000439375,0.000439375
32,2398.08,1.75755,2.40487,1.34022,0,0,0,0,1.5662,3.01587,1.17499,0.000433187,0.000433187,0.000433187
33,2427.66,1.79251,2.39073,1.33852,0,0,0,0,1.7372,3.04416,1.23062,0.000427,0.000427,0.000427
34,2476.38,1.78089,2.37958,1.33834,0,0,0,0,1.53338,2.92861,1.17591,0.000420812,0.000420812,0.000420812
35,2564.47,1.75332,2.36636,1.35577,0,0,0,0,1.67222,2.98401,1.23098,0.000414625,0.000414625,0.000414625
36,2595.37,1.75109,2.34611,1.3586,0,0,0,0,1.50646,2.92692,1.14859,0.000408438,0.000408438,0.000408438
37,2627.66,1.74518,2.35187,1.30969,0,0,0,0,1.52247,2.99884,1.15339,0.00040225,0.00040225,0.00040225
38,2660.94,1.77446,2.34751,1.34001,0,0,0,0,1.48494,2.88099,1.15605,0.000396063,0.000396063,0.000396063
39,2697.72,1.72776,2.34587,1.3205,0,0,0,0,1.44479,2.85134,1.13082,0.000389875,0.000389875,0.000389875
40,2726.02,1.75303,2.31289,1.33291,0,0,0,0,1.42063,2.86637,1.12694,0.000383688,0.000383688,0.000383688
41,2785.47,1.73742,2.30969,1.30518,0,0,0,0,1.5171,2.83067,1.15528,0.0003775,0.0003775,0.0003775
42,3437.88,1.73114,2.31436,1.30849,0,0,0,0,1.38158,2.83735,1.11756,0.000371313,0.000371313,0.000371313
43,3478.51,1.70924,2.28642,1.29213,0,0,0,0,1.36117,2.85471,1.10012,0.000365125,0.000365125,0.000365125
44,3514.56,1.71204,2.27143,1.30362,0,0,0,0,1.37026,2.87284,1.11197,0.000358938,0.000358938,0.000358938
45,3553.67,1.69549,2.28762,1.28352,0,0,0,0,1.34852,2.81914,1.09401,0.00035275,0.00035275,0.00035275
46,3906.28,1.67987,2.26864,1.26467,0,0,0,0,1.34707,2.82213,1.09665,0.000346563,0.000346563,0.000346563
47,3999.36,1.67525,2.28325,1.32932,0,0,0,0,1.35235,2.82958,1.09481,0.000340375,0.000340375,0.000340375
48,4037.04,1.67326,2.27434,1.31488,0,0,0,0,1.35338,2.82262,1.09572,0.000334188,0.000334188,0.000334188
49,4077.25,1.66685,2.25824,1.29531,0,0,0,0,1.37758,2.82871,1.10618,0.000328,0.000328,0.000328
50,4107.27,1.67093,2.25967,1.28671,0,0,0,0,1.38522,2.86686,1.11048,0.000321812,0.000321812,0.000321812
51,4147.3,1.65734,2.22398,1.27389,0,0,0,0,1.3293,2.79448,1.091,0.000315625,0.000315625,0.000315625
52,4211.02,1.66712,2.25036,1.29077,0,0,0,0,1.29019,2.76097,1.07879,0.000309437,0.000309437,0.000309437
53,5137.04,1.67568,2.22021,1.25016,0,0,0,0,1.3374,2.79761,1.09366,0.00030325,0.00030325,0.00030325
54,5184.92,1.6379,2.20789,1.26602,0,0,0,0,1.3825,2.754,1.10941,0.000297063,0.000297063,0.000297063
55,5246.23,1.63589,2.22952,1.25374,0,0,0,0,1.3373,2.75073,1.08888,0.000290875,0.000290875,0.000290875
56,5624.67,1.62188,2.18905,1.25258,0,0,0,0,1.32189,2.79406,1.08348,0.000284688,0.000284688,0.000284688
57,5662.32,1.61887,2.18442,1.25486,0,0,0,0,1.36328,2.7127,1.08943,0.0002785,0.0002785,0.0002785
58,5706.5,1.64096,2.17791,1.25857,0.08333,0.00128,0.04231,0.03385,1.31769,2.73889,1.07735,0.000272313,0.000272313,0.000272313
59,5748.12,1.63971,2.18034,1.25598,0,0,0,0,1.3166,2.76072,1.08937,0.000266125,0.000266125,0.000266125
60,5778.64,1.60893,2.17306,1.27167,0.08333,0.00128,0.04231,0.03808,1.25514,2.7621,1.06458,0.000259938,0.000259938,0.000259938
61,5807.25,1.57304,2.13415,1.24334,0.08333,0.00128,0.04231,0.03385,1.28563,2.76148,1.07219,0.00025375,0.00025375,0.00025375
62,5851.57,1.57823,2.14544,1.25662,0.08333,0.00128,0.04231,0.03808,1.25646,2.80151,1.07609,0.000247563,0.000247563,0.000247563
63,5926.46,1.58468,2.14675,1.24166,0.08333,0.00128,0.04231,0.03808,1.26477,2.70571,1.06169,0.000241375,0.000241375,0.000241375
64,5992.59,1.59529,2.12801,1.25598,0.08333,0.00128,0.04231,0.03808,1.25005,2.74576,1.06068,0.000235188,0.000235188,0.000235188
65,6030.3,1.58969,2.13091,1.24282,0.08333,0.00128,0.04231,0.03808,1.23088,2.74393,1.0493,0.000229,0.000229,0.000229
66,6070.07,1.55975,2.11265,1.2359,0.08333,0.00385,0.04359,0.0349,1.23628,2.68446,1.05225,0.000222813,0.000222813,0.000222813
67,6107.92,1.57771,2.10527,1.22571,0.08333,0.00256,0.04295,0.03865,1.2877,2.66496,1.06297,0.000216625,0.000216625,0.000216625
68,6136.14,1.54746,2.07228,1.22936,0.09259,0.00732,0.04841,0.03865,1.24219,2.6382,1.05762,0.000210437,0.000210437,0.000210437
69,6168.6,1.54243,2.09644,1.2371,0.18137,0.01902,0.09615,0.07042,1.26081,2.61243,1.06524,0.00020425,0.00020425,0.00020425
70,6227.08,1.56296,2.07381,1.21719,0.09615,0.01464,0.05734,0.04594,1.21297,2.57701,1.04551,0.000198063,0.000198063,0.000198063
71,6313.59,1.54207,2.06893,1.21704,0.13611,0.01683,0.07588,0.06231,1.14503,2.60599,1.02455,0.000191875,0.000191875,0.000191875
72,6362.27,1.53221,2.03835,1.23806,0.125,0.03841,0.079,0.05914,1.17739,2.61486,1.03386,0.000185688,0.000185688,0.000185688
73,6439.6,1.54274,2.05994,1.2344,0.10804,0.03494,0.06453,0.048,1.17189,2.58241,1.02738,0.0001795,0.0001795,0.0001795
74,6543.49,1.53185,2.03025,1.24502,0.10341,0.02634,0.06254,0.04872,1.1384,2.60531,1.0241,0.000173313,0.000173313,0.000173313
75,6607.34,1.52824,2.00882,1.22282,0.12137,0.04535,0.08009,0.05988,1.12989,2.59468,1.02441,0.000167125,0.000167125,0.000167125
76,6673.47,1.53152,1.99386,1.23078,0.12361,0.04097,0.07971,0.05977,1.16189,2.58113,1.02744,0.000160938,0.000160938,0.000160938
77,6708.75,1.52511,1.9934,1.22974,0.12401,0.05486,0.08449,0.06199,1.16396,2.55278,1.0335,0.00015475,0.00015475,0.00015475
78,6745.92,1.52093,1.96319,1.21209,0.1299,0.03018,0.07597,0.05619,1.11149,2.56017,1.01725,0.000148563,0.000148563,0.000148563
79,6818.21,1.50885,1.94318,1.22828,0.11116,0.04135,0.07026,0.05469,1.12575,2.61774,1.02219,0.000142375,0.000142375,0.000142375
80,6859.67,1.50802,1.94234,1.20251,0.11174,0.03494,0.06914,0.05429,1.14088,2.60988,1.02579,0.000136187,0.000136187,0.000136187
81,6913.23,1.51362,1.93066,1.20848,0.11138,0.03365,0.06869,0.05267,1.11804,2.57102,1.01801,0.00013,0.00013,0.00013
82,6957.04,1.51172,1.90125,1.19615,0.12196,0.04444,0.07765,0.05726,1.12522,2.51209,1.0226,0.000123812,0.000123812,0.000123812
83,6987.86,1.51256,1.89949,1.1989,0.12082,0.04829,0.08104,0.0607,1.11243,2.52719,1.01594,0.000117625,0.000117625,0.000117625
84,7079.71,1.51624,1.90891,1.19848,0.11865,0.04701,0.08052,0.05883,1.10746,2.49273,1.01405,0.000111438,0.000111438,0.000111438
85,7172.95,1.49594,1.8819,1.21439,0.11392,0.04701,0.07811,0.05745,1.08658,2.47672,1.00665,0.00010525,0.00010525,0.00010525
86,7219.73,1.49708,1.86813,1.20055,0.11717,0.04663,0.07982,0.06095,1.07431,2.47022,1.00503,9.90625e-05,9.90625e-05,9.90625e-05
87,7252.24,1.50232,1.8432,1.19228,0.12846,0.05908,0.09011,0.06408,1.08013,2.46977,1.00269,9.2875e-05,9.2875e-05,9.2875e-05
