epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.522,1.93853,4.60566,1.32849,0.34088,0.34154,0.12372,0.0736,1.30184,3.01518,1.07073,0.000207207,0.000207207,0.000207207
2,598.481,1.926,3.09497,1.33292,0.12519,0.60218,0.24259,0.12892,1.4311,2.31873,1.10953,0.000411427,0.000411427,0.000411427
3,881.298,1.93101,2.65044,1.30385,0.16309,0.60431,0.29433,0.18812,1.29231,2.24636,1.06773,0.000611521,0.000611521,0.000611521
4,1175.81,1.89372,2.39674,1.29501,0.24719,0.29383,0.27659,0.16822,1.41077,2.20934,1.1042,0.000606437,0.000606437,0.000606437
5,1509.41,1.85793,2.22226,1.28936,0.18806,0.65358,0.31968,0.18965,1.27778,2.18056,1.05504,0.00060025,0.00060025,0.00060025
6,2086.56,1.83741,2.08581,1.28464,0.15168,0.83502,0.31276,0.19264,1.27284,2.15543,1.05288,0.000594062,0.000594062,0.000594062
7,2269.16,1.83617,2.02241,1.27915,0.20565,0.59638,0.34089,0.18732,1.58442,2.11789,1.15972,0.000587875,0.000587875,0.000587875
8,2456.97,1.83692,1.9063,1.28053,0.18991,0.69113,0.35123,0.21684,1.27854,1.93456,1.04692,0.000581687,0.000581687,0.000581687
9,2968,1.80641,1.86809,1.26002,0.17382,0.86307,0.36891,0.22517,1.22336,2.09662,1.03426,0.0005755,0.0005755,0.0005755
10,3204.68,1.79018,1.81005,1.28082,0.22062,0.74144,0.4164,0.24074,1.33817,1.99393,1.07227,0.000569313,0.000569313,0.000569313
11,3445.87,1.76504,1.74022,1.24635,0.25072,0.71855,0.4066,0.27131,1.18633,2.13764,1.03004,0.000563125,0.000563125,0.000563125
12,3662.48,1.80483,1.71111,1.27809,0.2534,0.74405,0.40586,0.24421,1.34084,1.87752,1.07019,0.000556938,0.000556938,0.000556938
13,3865.66,1.78019,1.66334,1.25225,0.27026,0.71421,0.47654,0.30252,1.23759,2.03216,1.04398,0.00055075,0.00055075,0.00055075
14,4029.25,1.77054,1.64447,1.23967,0.29682,0.65561,0.45185,0.27241,1.31702,2.04803,1.06285,0.000544563,0.000544563,0.000544563
15,4266.35,1.77535,1.6631,1.24303,0.34329,0.74379,0.53542,0.34649,1.26327,2.0057,1.05254,0.000538375,0.000538375,0.000538375
16,4482.99,1.72959,1.57812,1.25238,0.2759,0.82034,0.52928,0.33349,1.15679,2.06204,1.01198,0.000532187,0.000532187,0.000532187
17,4697.91,1.74736,1.56776,1.24059,0.35178,0.60224,0.55241,0.38353,1.08238,2.12564,1.00544,0.000526,0.000526,0.000526
18,4928.91,1.76088,1.54319,1.24861,0.30673,0.80911,0.48309,0.28426,1.23396,2.03938,1.03839,0.000519812,0.000519812,0.000519812
