epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9485,1.84197,4.14026,1.12783,0.58209,0.18142,0.24906,0.14302,1.0085,2.8709,0.94272,0.000207023,0.000207023,0.000207023
2,66.8338,1.75499,2.74565,1.12381,0.32069,0.36111,0.34291,0.22161,0.98731,2.87927,0.96504,0.000411244,0.000411244,0.000411244
3,97.0354,1.6545,2.21035,1.11464,0.1953,0.5211,0.36388,0.2555,0.97568,2.63533,0.95855,0.000611341,0.000611341,0.000611341
4,123.969,1.68547,1.94353,1.13048,0.37445,0.5321,0.50616,0.36962,0.96066,2.7898,0.95416,0.000606437,0.000606437,0.000606437
5,150.511,1.59146,1.66078,1.10892,0.32221,0.61782,0.44902,0.32202,0.92829,3.33178,0.94206,0.00060025,0.00060025,0.00060025
6,178.413,1.57638,1.44756,1.10282,0.41534,0.70152,0.48395,0.33196,0.93318,3.9784,0.93643,0.000594062,0.000594062,0.000594062
7,207.847,1.53244,1.36669,1.09685,0.49802,0.61448,0.60601,0.44319,0.91949,2.84868,0.94891,0.000587875,0.000587875,0.000587875
8,237.047,1.51772,1.24184,1.08679,0.62217,0.53202,0.62044,0.43475,0.97724,3.38457,0.94999,0.000581687,0.000581687,0.000581687
9,264.141,1.50447,1.14776,1.0794,0.64058,0.7534,0.63492,0.45562,0.96024,3.46245,0.94348,0.0005755,0.0005755,0.0005755
10,293.086,1.53005,1.17055,1.08791,0.46936,0.68516,0.60838,0.42983,0.95321,2.79498,0.94838,0.000569313,0.000569313,0.000569313
11,321.901,1.51516,1.09648,1.08308,0.46671,0.78847,0.60186,0.44824,0.95875,3.15836,0.97036,0.000563125,0.000563125,0.000563125
12,349.122,1.48134,1.04786,1.08818,0.56853,0.66733,0.60598,0.45488,0.93229,3.32543,0.93918,0.000556938,0.000556938,0.000556938
13,376.149,1.44133,0.99156,1.06733,0.59657,0.66002,0.62397,0.45287,0.97917,3.28509,0.94513,0.00055075,0.00055075,0.00055075
14,403.05,1.42649,0.96722,1.05601,0.539,0.83239,0.61859,0.45732,0.91056,4.38781,0.93478,0.000544563,0.000544563,0.000544563
15,430.747,1.44467,0.96758,1.07047,0.53646,0.76857,0.58476,0.4257,1.01663,3.73833,0.95733,0.000538375,0.000538375,0.000538375
16,457.761,1.41138,0.91074,1.05158,0.53647,0.79635,0.66702,0.47923,0.94622,3.03853,0.95794,0.000532187,0.000532187,0.000532187
17,484.802,1.43343,0.93265,1.06473,0.6838,0.60751,0.61011,0.45397,1.0081,3.3631,0.95327,0.000526,0.000526,0.000526
18,511.996,1.42657,0.89829,1.06478,0.73631,0.8117,0.76496,0.57844,0.91289,3.72441,0.93099,0.000519812,0.000519812,0.000519812
19,539.262,1.39198,0.86972,1.04708,0.68833,0.71931,0.70538,0.51669,0.84206,3.44416,0.9169,0.000513625,0.000513625,0.000513625
20,566.62,1.38923,0.87213,1.04372,0.70947,0.79268,0.78557,0.60136,0.86706,3.43565,0.9252,0.000507438,0.000507438,0.000507438
21,596.072,1.40889,0.86434,1.05451,0.70828,0.78159,0.72974,0.55321,0.96746,3.85473,0.9457,0.00050125,0.00050125,0.00050125
22,625.216,1.3912,0.82117,1.05728,0.68405,0.78599,0.73529,0.54114,0.92843,3.75842,0.93532,0.000495063,0.000495063,0.000495063
23,654.929,1.39321,0.83482,1.05139,0.69425,0.77842,0.74817,0.55282,0.98929,3.41261,0.95877,0.000488875,0.000488875,0.000488875
24,684.53,1.40322,0.81838,1.0474,0.69053,0.76463,0.69778,0.52406,0.85161,3.94721,0.91107,0.000482687,0.000482687,0.000482687
25,713.455,1.36766,0.80282,1.03663,0.7641,0.80883,0.80084,0.58546,0.91247,3.46295,0.9299,0.0004765,0.0004765,0.0004765
26,742.53,1.36205,0.79513,1.03221,0.68716,0.84206,0.70198,0.53568,0.86864,4.01334,0.91406,0.000470312,0.000470312,0.000470312
27,770.986,1.35092,0.78946,1.02278,0.73798,0.79292,0.74282,0.56411,0.84202,4.01621,0.90914,0.000464125,0.000464125,0.000464125
28,798.172,1.40691,0.8091,1.05473,0.67477,0.8031,0.75131,0.57752,0.85282,3.69418,0.9094,0.000457938,0.000457938,0.000457938
29,825.452,1.35147,0.78683,1.0283,0.66676,0.78287,0.75242,0.56671,0.82913,3.45386,0.90341,0.00045175,0.00045175,0.00045175
