epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7178,1.84197,4.14026,1.12783,0.58209,0.18142,0.24906,0.14302,1.0085,2.8709,0.94272,0.000207023,0.000207023,0.000207023
2,68.988,1.75852,2.73245,1.12459,0.43831,0.27784,0.34822,0.22902,0.9889,2.82017,0.95729,0.000411618,0.000411618,0.000411618
3,96.3016,1.66108,2.18894,1.11277,0.24153,0.5619,0.36389,0.24535,1.00155,2.98485,0.96319,0.000612463,0.000612463,0.000612463
4,123.953,1.68653,1.94292,1.1262,0.31415,0.54326,0.46645,0.31871,1.03472,3.21403,0.96248,0.000608125,0.000608125,0.000608125
5,152.112,1.59823,1.64383,1.10881,0.3545,0.52806,0.51937,0.37276,0.92346,2.70752,0.95103,0.0006025,0.0006025,0.0006025
6,179.841,1.59106,1.43667,1.10851,0.42163,0.74296,0.58681,0.41895,0.92783,2.80684,0.93901,0.000596875,0.000596875,0.000596875
7,207.189,1.52762,1.36015,1.09507,0.45832,0.63213,0.57407,0.42282,0.90348,2.95569,0.93421,0.00059125,0.00059125,0.00059125
8,234.952,1.53083,1.23304,1.08968,0.55838,0.74532,0.65887,0.45505,0.93012,2.87558,0.94208,0.000585625,0.000585625,0.000585625
9,261.538,1.50326,1.16205,1.07498,0.52736,0.67715,0.6513,0.47399,0.92221,2.73793,0.92626,0.00058,0.00058,0.00058
10,289.079,1.54531,1.14856,1.08735,0.58724,0.72564,0.72196,0.51939,0.94895,2.98985,0.95379,0.000574375,0.000574375,0.000574375
11,316,1.52248,1.09374,1.0832,0.58289,0.6698,0.61371,0.44201,0.96088,3.0949,0.95606,0.00056875,0.00056875,0.00056875
12,342.668,1.48332,1.04562,1.08607,0.59421,0.68097,0.6598,0.48805,0.92222,3.68314,0.93294,0.000563125,0.000563125,0.000563125
13,369.481,1.44311,1.00848,1.06594,0.61746,0.76138,0.80579,0.58974,0.96107,2.81524,0.94645,0.0005575,0.0005575,0.0005575
14,396.27,1.44009,0.97576,1.05945,0.68454,0.6841,0.7028,0.52619,0.88871,3.37123,0.93431,0.000551875,0.000551875,0.000551875
