epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2092,1.31399,3.95291,0.97966,0.20504,0.64762,0.35809,0.25414,1.23526,1.7267,0.96854,0.000207265,0.000207265,0.000207265
2,69.7333,1.17031,2.41957,0.9491,0.31468,0.67512,0.45481,0.33057,1.06277,1.28155,0.93675,0.000411484,0.000411484,0.000411484
3,100.957,1.11749,1.90731,0.94101,0.36162,0.74183,0.58363,0.43005,1.06691,1.13562,0.93856,0.000611578,0.000611578,0.000611578
4,132.641,1.07919,1.5343,0.93517,0.62092,0.80555,0.69674,0.49503,1.09982,1.08167,0.95487,0.000606437,0.000606437,0.000606437
5,164.264,1.06736,1.35518,0.93932,0.66395,0.84775,0.80086,0.60277,1.07404,0.82849,0.94784,0.00060025,0.00060025,0.00060025
6,195.972,1.03888,1.18787,0.92637,0.59934,0.88547,0.7879,0.59683,1.01705,0.85128,0.93416,0.000594062,0.000594062,0.000594062
7,227.262,1.02457,1.07269,0.92377,0.77709,0.92761,0.89877,0.66987,1.05279,0.66949,0.93906,0.000587875,0.000587875,0.000587875
8,258.821,1.00735,0.98622,0.91811,0.85246,0.88306,0.95415,0.7496,0.96987,0.6849,0.91861,0.000581687,0.000581687,0.000581687
9,291.718,1.01172,0.94503,0.92222,0.8092,0.8877,0.95243,0.74864,0.98944,0.65921,0.91077,0.0005755,0.0005755,0.0005755
10,325.103,0.99169,0.87701,0.91956,0.83464,0.94056,0.97165,0.76095,1.00612,0.59039,0.92058,0.000569313,0.000569313,0.000569313
11,358.037,0.99309,0.85412,0.92113,0.92819,0.95204,0.98976,0.76619,0.97342,0.53049,0.90333,0.000563125,0.000563125,0.000563125
12,390.87,0.97183,0.77666,0.91185,0.88404,0.95587,0.98967,0.78273,0.98628,0.57193,0.92124,0.000556938,0.000556938,0.000556938
13,423.728,0.98048,0.7558,0.91927,0.88487,0.95118,0.9727,0.77436,0.96579,0.5818,0.91096,0.00055075,0.00055075,0.00055075
14,456.655,0.96673,0.72635,0.90987,0.93322,0.9932,0.995,0.79256,0.94241,0.49682,0.90036,0.000544563,0.000544563,0.000544563
15,491.776,0.95685,0.7327,0.91195,0.92687,0.94026,0.995,0.7842,0.95227,0.5088,0.90195,0.000538375,0.000538375,0.000538375
16,527.759,0.97411,0.72399,0.91137,0.95574,0.95112,0.98812,0.76627,0.99882,0.5255,0.91476,0.000532187,0.000532187,0.000532187
17,560.548,0.95393,0.68497,0.90969,0.96653,0.97848,0.995,0.80286,0.92196,0.48312,0.89561,0.000526,0.000526,0.000526
18,593.879,0.94937,0.69739,0.90898,0.9609,0.99104,0.995,0.77183,0.98265,0.4607,0.91105,0.000519812,0.000519812,0.000519812
19,628.098,0.95726,0.66977,0.90422,0.95909,0.97915,0.995,0.78636,0.96052,0.46106,0.9061,0.000513625,0.000513625,0.000513625
20,661.982,0.93734,0.65876,0.90391,0.97695,0.98232,0.995,0.77844,0.96895,0.44486,0.90626,0.000507438,0.000507438,0.000507438
21,695.969,0.94415,0.65122,0.90253,0.97442,0.98082,0.995,0.7662,0.99623,0.44265,0.91598,0.00050125,0.00050125,0.00050125
22,728.084,0.94096,0.61592,0.90509,0.94226,0.99211,0.995,0.78781,0.94391,0.43895,0.89816,0.000495063,0.000495063,0.000495063
23,760.411,0.93459,0.61836,0.90496,0.93919,0.94166,0.98012,0.75939,0.95844,0.50749,0.90511,0.000488875,0.000488875,0.000488875
24,792.918,0.93546,0.60601,0.90407,0.95031,0.96037,0.98967,0.76535,0.97633,0.47859,0.90913,0.000482687,0.000482687,0.000482687
25,824.635,0.93009,0.59942,0.89894,0.96043,0.99845,0.995,0.77552,0.96491,0.44099,0.90642,0.0004765,0.0004765,0.0004765
26,858.043,0.915,0.60754,0.9021,0.94506,0.96269,0.9901,0.79095,0.93515,0.48303,0.89695,0.000470312,0.000470312,0.000470312
27,890.657,0.92143,0.5872,0.89579,0.96396,0.98134,0.995,0.77785,0.97202,0.4605,0.90196,0.000464125,0.000464125,0.000464125
28,921.832,0.92619,0.59239,0.89619,0.91507,0.89693,0.976,0.7495,0.9716,0.54246,0.912,0.000457938,0.000457938,0.000457938
29,952.318,0.90844,0.57189,0.89288,0.94022,0.94781,0.992,0.77037,0.96558,0.47498,0.90606,0.00045175,0.00045175,0.00045175
30,982.781,0.91534,0.57654,0.90002,0.96292,0.9979,0.995,0.78675,0.95782,0.41203,0.90411,0.000445562,0.000445562,0.000445562
31,1013.22,0.90456,0.57699,0.88814,0.96025,0.98969,0.995,0.79371,0.93123,0.40698,0.89818,0.000439375,0.000439375,0.000439375
32,1043.6,0.90651,0.56491,0.89034,0.97757,0.99804,0.995,0.79595,0.92005,0.39636,0.89233,0.000433187,0.000433187,0.000433187
33,1074.05,0.8981,0.55083,0.89459,0.95347,1,0.995,0.79518,0.94654,0.41784,0.89775,0.000427,0.000427,0.000427
34,1104.85,0.90125,0.5525,0.89387,0.9572,0.99106,0.99487,0.7718,0.94484,0.43872,0.89747,0.000420812,0.000420812,0.000420812
35,1135.37,0.90642,0.54555,0.8918,0.97997,0.98503,0.995,0.78641,0.93072,0.4153,0.89484,0.000414625,0.000414625,0.000414625
36,1165.94,0.89478,0.55026,0.88925,0.95869,0.97308,0.9931,0.78553,0.94694,0.4528,0.8991,0.000408438,0.000408438,0.000408438
37,1196.43,0.89266,0.5256,0.89075,0.97809,0.96583,0.9931,0.79684,0.93351,0.43004,0.89367,0.00040225,0.00040225,0.00040225
38,1227.66,0.88922,0.53323,0.88928,0.97073,0.98146,0.995,0.79124,0.95711,0.41951,0.89655,0.000396063,0.000396063,0.000396063
39,1258.6,0.88445,0.52959,0.88864,0.97795,0.98495,0.99473,0.78176,0.94409,0.40375,0.89389,0.000389875,0.000389875,0.000389875
40,1292.42,0.8773,0.51688,0.88681,0.91405,0.88267,0.97449,0.76484,0.95786,0.59945,0.90088,0.000383688,0.000383688,0.000383688
41,1323.44,0.8948,0.51375,0.88818,0.9787,1,0.995,0.79283,0.94446,0.38895,0.89587,0.0003775,0.0003775,0.0003775
42,1355.64,0.88546,0.51528,0.89332,0.98135,0.97867,0.995,0.79601,0.95,0.41341,0.89626,0.000371313,0.000371313,0.000371313
43,1387.09,0.87481,0.50322,0.88391,0.97808,0.99825,0.995,0.77702,0.95134,0.39884,0.89671,0.000365125,0.000365125,0.000365125
44,1420.45,0.87091,0.50449,0.88378,0.96453,0.94882,0.995,0.77702,0.94983,0.45167,0.89731,0.000358938,0.000358938,0.000358938
45,1451.31,0.87224,0.50143,0.88542,0.94494,0.95328,0.9877,0.77759,0.98942,0.48475,0.90149,0.00035275,0.00035275,0.00035275
46,1481.79,0.87838,0.50926,0.889,0.96597,0.98739,0.995,0.78989,0.93985,0.42319,0.89501,0.000346563,0.000346563,0.000346563
47,1512.24,0.86118,0.49572,0.88606,0.97552,0.9424,0.99473,0.78853,0.93143,0.44138,0.89397,0.000340375,0.000340375,0.000340375
48,1542.73,0.871,0.49562,0.88109,0.97002,0.95613,0.995,0.79053,0.95982,0.45032,0.89638,0.000334188,0.000334188,0.000334188
49,1573.37,0.86419,0.4863,0.88343,0.98023,0.99517,0.995,0.77207,0.96171,0.38553,0.89923,0.000328,0.000328,0.000328
50,1603.92,0.8626,0.48691,0.87988,0.94929,0.9062,0.97944,0.77965,0.94148,0.5045,0.89234,0.000321812,0.000321812,0.000321812
51,1634.44,0.85915,0.47239,0.88247,0.965,0.96743,0.9871,0.78136,0.91962,0.43105,0.89182,0.000315625,0.000315625,0.000315625
